generated_at,commit,branch,bank,transactions_count,categorized_count,uncategorized_count,categorized_pct,uncategorized_pct,categorized_amount_eur_abs,uncategorized_amount_eur_abs,categorized_amount_eur_abs_pct,uncategorized_amount_eur_abs_pct
2026-02-27T00:10:01.842862+00:00,0cb30c5,feature/automated-categorization,Boursobank,2410,504,1906,20.9129,79.0871,,,,
2026-02-27T00:10:01.842862+00:00,0cb30c5,feature/automated-categorization,HSBC,5092,2817,2275,55.3221,44.6779,,,,
2026-02-27T00:10:01.842862+00:00,0cb30c5,feature/automated-categorization,LaBanquePostale,2561,289,2272,11.2847,88.7153,,,,
2026-02-27T00:10:01.842862+00:00,0cb30c5,feature/automated-categorization,Revolut,2481,1790,691,72.1483,27.8517,,,,
2026-02-28T01:35:08.972403+00:00,eeecd56,fix/hsbc-sign-inference-hardening,Boursobank,2410,133,2277,5.5187,94.4813,,,,
2026-02-28T01:35:08.972403+00:00,eeecd56,fix/hsbc-sign-inference-hardening,HSBC,4837,681,4156,14.0790,85.9210,,,,
2026-02-28T01:35:08.972403+00:00,eeecd56,fix/hsbc-sign-inference-hardening,LaBanquePostale,2561,212,2349,8.2780,91.7220,,,,
2026-02-28T01:35:08.972403+00:00,eeecd56,fix/hsbc-sign-inference-hardening,Revolut,2481,117,2364,4.7158,95.2842,,,,
2026-03-01T00:21:43.024169+00:00,d06eb7a,fix/hsbc-reconciliation-next,Boursobank,2410,133,2277,5.5187,94.4813,,,,
2026-03-01T00:21:43.024169+00:00,d06eb7a,fix/hsbc-reconciliation-next,HSBC,4842,679,4163,14.0231,85.9769,,,,
2026-03-01T00:21:43.024169+00:00,d06eb7a,fix/hsbc-reconciliation-next,LaBanquePostale,2561,212,2349,8.2780,91.7220,,,,
2026-03-01T00:21:43.024169+00:00,d06eb7a,fix/hsbc-reconciliation-next,Revolut,2481,117,2364,4.7158,95.2842,,,,
2026-03-03T21:33:17.114676+00:00,c869736,feature/offline-interactive-dashboard,Boursobank,2451,510,1941,20.8078,79.1922,,,,
2026-03-03T21:33:17.114676+00:00,c869736,feature/offline-interactive-dashboard,HSBC,4841,2486,2355,51.3530,48.6470,,,,
2026-03-03T21:33:17.114676+00:00,c869736,feature/offline-interactive-dashboard,LaBanquePostale,2594,294,2300,11.3338,88.6662,,,,
