scenario_name,retirement_age,pension_before_tax_eur,retirement_spending_before_tax_eur,kids_target_fund_eur,house_project_cost_eur,inflation_pct,expected_return_pct,required_monthly_retirement_saving_eur,required_monthly_education_saving_eur,required_monthly_house_saving_eur,total_required_monthly_saving_eur
ret64_p60k_sp60k_kids10k_house0k_infl1_5_r8_0,64,60000.0,60000.0,10000.0,0.0,1.5,8.0,0.0,304.63512792343136,0.0,304.63512792343136
ret64_p60k_sp60k_kids10k_house50k_infl1_5_r8_0,64,60000.0,60000.0,10000.0,50000.0,1.5,8.0,0.0,304.63512792343136,0.0,304.63512792343136
ret64_p70k_sp60k_kids10k_house0k_infl1_5_r8_0,64,70000.0,60000.0,10000.0,0.0,1.5,8.0,0.0,304.63512792343136,0.0,304.63512792343136
ret64_p70k_sp60k_kids10k_house50k_infl1_5_r8_0,64,70000.0,60000.0,10000.0,50000.0,1.5,8.0,0.0,304.63512792343136,0.0,304.63512792343136
ret64_p85k_sp60k_kids10k_house0k_infl1_5_r8_0,64,85000.0,60000.0,10000.0,0.0,1.5,8.0,0.0,304.63512792343136,0.0,304.63512792343136
ret64_p85k_sp60k_kids10k_house50k_infl1_5_r8_0,64,85000.0,60000.0,10000.0,50000.0,1.5,8.0,0.0,304.63512792343136,0.0,304.63512792343136
ret64_p85k_sp80k_kids10k_house0k_infl1_5_r8_0,64,85000.0,80000.0,10000.0,0.0,1.5,8.0,0.0,304.63512792343136,0.0,304.63512792343136
ret64_p85k_sp80k_kids10k_house50k_infl1_5_r8_0,64,85000.0,80000.0,10000.0,50000.0,1.5,8.0,0.0,304.63512792343136,0.0,304.63512792343136
ret65_p60k_sp60k_kids10k_house0k_infl1_5_r8_0,65,60000.0,60000.0,10000.0,0.0,1.5,8.0,0.0,304.63512792343136,0.0,304.63512792343136
ret65_p60k_sp60k_kids10k_house50k_infl1_5_r8_0,65,60000.0,60000.0,10000.0,50000.0,1.5,8.0,0.0,304.63512792343136,0.0,304.63512792343136
ret65_p70k_sp60k_kids10k_house0k_infl1_5_r8_0,65,70000.0,60000.0,10000.0,0.0,1.5,8.0,0.0,304.63512792343136,0.0,304.63512792343136
ret65_p70k_sp60k_kids10k_house50k_infl1_5_r8_0,65,70000.0,60000.0,10000.0,50000.0,1.5,8.0,0.0,304.63512792343136,0.0,304.63512792343136
ret65_p85k_sp60k_kids10k_house0k_infl1_5_r8_0,65,85000.0,60000.0,10000.0,0.0,1.5,8.0,0.0,304.63512792343136,0.0,304.63512792343136
ret65_p85k_sp60k_kids10k_house50k_infl1_5_r8_0,65,85000.0,60000.0,10000.0,50000.0,1.5,8.0,0.0,304.63512792343136,0.0,304.63512792343136
ret65_p85k_sp80k_kids10k_house0k_infl1_5_r8_0,65,85000.0,80000.0,10000.0,0.0,1.5,8.0,0.0,304.63512792343136,0.0,304.63512792343136
